daughter	dbo:child
married to	dbp:spouse
die	dbo:deathPlace
governed	dbp:rulingParty
tall	dbo:height
war	dbo:battle
join the EU	dbp:accessioneudate
when	dbo:date
mayor	dbo:leaderName 
alive	dbo:deathDate
die from 	dbo:deathCause
wife	 dbo:spouse
website	 foaf:homepage
first season	 dbo:seasonNumber 
first name	foaf:givenName
higher	dbp:elevationM
created	dbo:author
spoken	dbo:language 
own	dbo:keyPerson
written 	dbo:author
movie	dbo:starring
wrote	dbo:author
highest	dbo:elevation
born	dbo:birthPlace
inhabitant	dbo:populationTotal	
mayor	dbo:leader	
total amount of men and women	dbp:strength	
produce	dbp:manufacturer	
car	dbo:Automobile	
produce 	dbp:assembly	
movie	dbo:Film	
Conflict	dbo:battle	
husband	dbp:spouse	
professional	dbo:occupation 	
ruling party	dbp:leaderParty	
dwelt	dbp:abode	
called after	dbp:shipNamesake	
win	dbo:award 	
when die 	dbo:deathDate	
called	dbp:nickname	
page	dbo:numberOfPages	
bury	dbo:restingPlace	dbo:Settlement
abbreviation	dbp:postalabbreviation	
release	dbo:releaseDate 	
paint	dbp:artist	
military conflict	dbo:battle
video game	dbo:Software	
found	dbo:foundationPlace	
born	dbo:birthPlace	
inhabitant	prop:populationUrban	dbp:population
when release	dbo:releaseDate	
entrance	dbo:numberOfEntrances	
spokenin	dbo:spokenIn	dbo:language
own	dbo:keyPerson	
called	dbp:alias	foaf:givenName
music	dbo:Single	
company	dbo:Organisation	
official language	dbo:language
movie	dbo:Film
actress	dbo:Actor
where die 	dbo:deathPlace				
wife 	dbo:spouse				
country start 	dbo:sourceCountry				
border	dbpedia2:north 	dbpedia2:south	dbpedia2:southeast	dbpedia2:east	dbpedia2:west	dbpedia2:design				
same type	dbp:accessioneudate				
profession	dbpedia2:occupation				
die from 	dbo:deathCause				
